/"Mod name","Registry name","Entity class name","ID"
"Minecraft","minecraft:elder_guardian","net.minecraft.entity.monster.EntityElderGuardian",4
"Minecraft","minecraft:ender_crystal","net.minecraft.entity.item.EntityEnderCrystal",200
"Minecraft","minecraft:ender_dragon","net.minecraft.entity.boss.EntityDragon",63
"Minecraft","minecraft:ender_pearl","net.minecraft.entity.item.EntityEnderPearl",14
"Minecraft","minecraft:enderman","net.minecraft.entity.monster.EntityEnderman",58
"Minecraft","minecraft:endermite","net.minecraft.entity.monster.EntityEndermite",67
"Minecraft","minecraft:evocation_fangs","net.minecraft.entity.projectile.EntityEvokerFangs",33
"Minecraft","minecraft:evocation_illager","net.minecraft.entity.monster.EntityEvoker",34
"Minecraft","minecraft:eye_of_ender_signal","net.minecraft.entity.item.EntityEnderEye",15
"Minecraft","minecraft:falling_block","net.minecraft.entity.item.EntityFallingBlock",21
"Minecraft","minecraft:fireball","net.minecraft.entity.projectile.EntityLargeFireball",12
"Minecraft","minecraft:fireworks_rocket","net.minecraft.entity.item.EntityFireworkRocket",22
"Minecraft","minecraft:furnace_minecart","net.minecraft.entity.item.EntityMinecartFurnace",44
"Minecraft","minecraft:ghast","net.minecraft.entity.monster.EntityGhast",56
"Minecraft","minecraft:giant","net.minecraft.entity.monster.EntityGiantZombie",53
"Minecraft","minecraft:guardian","net.minecraft.entity.monster.EntityGuardian",68
"Minecraft","minecraft:hopper_minecart","net.minecraft.entity.item.EntityMinecartHopper",46
"Minecraft","minecraft:horse","net.minecraft.entity.passive.EntityHorse",100
"Minecraft","minecraft:husk","net.minecraft.entity.monster.EntityHusk",23
"Minecraft","minecraft:illusion_illager","net.minecraft.entity.monster.EntityIllusionIllager",37
"Minecraft","minecraft:item","net.minecraft.entity.item.EntityItem",1
"Minecraft","minecraft:item_frame","net.minecraft.entity.item.EntityItemFrame",18
"Minecraft","minecraft:leash_knot","net.minecraft.entity.EntityLeashKnot",8
"Minecraft","minecraft:llama","net.minecraft.entity.passive.EntityLlama",103
"Minecraft","minecraft:llama_spit","net.minecraft.entity.projectile.EntityLlamaSpit",104
"Minecraft","minecraft:magma_cube","net.minecraft.entity.monster.EntityMagmaCube",62
"Minecraft","minecraft:minecart","net.minecraft.entity.item.EntityMinecartEmpty",42
"Minecraft","minecraft:mooshroom","net.minecraft.entity.passive.EntityMooshroom",96
"Minecraft","minecraft:mule","net.minecraft.entity.passive.EntityMule",32
"Minecraft","minecraft:ocelot","net.minecraft.entity.passive.EntityOcelot",98
"Minecraft","minecraft:painting","net.minecraft.entity.item.EntityPainting",9
"Minecraft","minecraft:parrot","net.minecraft.entity.passive.EntityParrot",105
"Minecraft","minecraft:pig","net.minecraft.entity.passive.EntityPig",90
"Minecraft","minecraft:polar_bear","net.minecraft.entity.monster.EntityPolarBear",102
"Minecraft","minecraft:potion","net.minecraft.entity.projectile.EntityPotion",16
"Minecraft","minecraft:rabbit","net.minecraft.entity.passive.EntityRabbit",101
"Minecraft","minecraft:sheep","net.minecraft.entity.passive.EntitySheep",91
"Minecraft","minecraft:shulker","net.minecraft.entity.monster.EntityShulker",69
"Minecraft","minecraft:shulker_bullet","net.minecraft.entity.projectile.EntityShulkerBullet",25
"Minecraft","minecraft:silverfish","net.minecraft.entity.monster.EntitySilverfish",60
"Minecraft","minecraft:skeleton","net.minecraft.entity.monster.EntitySkeleton",51
"Minecraft","minecraft:skeleton_horse","net.minecraft.entity.passive.EntitySkeletonHorse",28
"Minecraft","minecraft:slime","net.minecraft.entity.monster.EntitySlime",55
"Minecraft","minecraft:small_fireball","net.minecraft.entity.projectile.EntitySmallFireball",13
"Minecraft","minecraft:snowball","net.minecraft.entity.projectile.EntitySnowball",11
"Minecraft","minecraft:snowman","net.minecraft.entity.monster.EntitySnowman",97
"Minecraft","minecraft:spawner_minecart","net.minecraft.entity.item.EntityMinecartMobSpawner",47
"Minecraft","minecraft:spectral_arrow","net.minecraft.entity.projectile.EntitySpectralArrow",24
"Minecraft","minecraft:spider","net.minecraft.entity.monster.EntitySpider",52
"Minecraft","minecraft:squid","net.minecraft.entity.passive.EntitySquid",94
"Minecraft","minecraft:stray","net.minecraft.entity.monster.EntityStray",6
"Minecraft","minecraft:tnt","net.minecraft.entity.item.EntityTNTPrimed",20
"Minecraft","minecraft:tnt_minecart","net.minecraft.entity.item.EntityMinecartTNT",45
"Minecraft","minecraft:vex","net.minecraft.entity.monster.EntityVex",35
"Minecraft","minecraft:villager","net.minecraft.entity.passive.EntityVillager",120
"Minecraft","minecraft:villager_golem","net.minecraft.entity.monster.EntityIronGolem",99
"Minecraft","minecraft:vindication_illager","net.minecraft.entity.monster.EntityVindicator",36
"Minecraft","minecraft:witch","net.minecraft.entity.monster.EntityWitch",66
"Minecraft","minecraft:wither","net.minecraft.entity.boss.EntityWither",64
"Minecraft","minecraft:wither_skeleton","net.minecraft.entity.monster.EntityWitherSkeleton",5
"Minecraft","minecraft:wither_skull","net.minecraft.entity.projectile.EntityWitherSkull",19
"Minecraft","minecraft:wolf","net.minecraft.entity.passive.EntityWolf",95
"Minecraft","minecraft:xp_bottle","net.minecraft.entity.item.EntityExpBottle",17
"Minecraft","minecraft:xp_orb","net.minecraft.entity.item.EntityXPOrb",2
"Minecraft","minecraft:zombie","net.minecraft.entity.monster.EntityZombie",54
"Minecraft","minecraft:zombie_horse","net.minecraft.entity.passive.EntityZombieHorse",29
"Minecraft","minecraft:zombie_pigman","net.minecraft.entity.monster.EntityPigZombie",57
"Minecraft","minecraft:zombie_villager","net.minecraft.entity.monster.EntityZombieVillager",27
"PlusTiC","plustic:blindbandit","landmaster.plustic.entity.EntityBlindBandit",1
"PlusTiC","plustic:supremeleader","landmaster.plustic.entity.EntitySupremeLeader",0
"Project: Vibrant Journeys","pvj:pvj_banshee","vibrantjourneys.entities.monster.EntityBanshee",12
"Project: Vibrant Journeys","pvj:pvj_beach_starfish","vibrantjourneys.entities.passive.EntityBeachStarfish",17
"Project: Vibrant Journeys","pvj:pvj_boat","vibrantjourneys.entities.item.EntityPVJBoat",18
"Project: Vibrant Journeys","pvj:pvj_clam","vibrantjourneys.entities.passive.EntityClam",6
"Project: Vibrant Journeys","pvj:pvj_coconut","vibrantjourneys.entities.item.EntityCoconut",19
"Project: Vibrant Journeys","pvj:pvj_coyote","vibrantjourneys.entities.neutral.EntityCoyote",9
"Project: Vibrant Journeys","pvj:pvj_duck","vibrantjourneys.entities.passive.EntityDuck",7
"Project: Vibrant Journeys","pvj:pvj_firefly","vibrantjourneys.entities.passive.EntityFirefly",3
"Project: Vibrant Journeys","pvj:pvj_fly","vibrantjourneys.entities.passive.EntityFly",2
"Project: Vibrant Journeys","pvj:pvj_ghost","vibrantjourneys.entities.neutral.EntityGhost",10
"Project: Vibrant Journeys","pvj:pvj_goon","vibrantjourneys.entities.monster.EntityGoon",15
"Project: Vibrant Journeys","pvj:pvj_grizzly_bear","vibrantjourneys.entities.neutral.EntityGrizzlyBear",8
"Project: Vibrant Journeys","pvj:pvj_icecube","vibrantjourneys.entities.monster.EntityIceCube",13
"Project: Vibrant Journeys","pvj:pvj_shade","vibrantjourneys.entities.monster.EntityShade",11
"Project: Vibrant Journeys","pvj:pvj_skeletal_knight","vibrantjourneys.entities.monster.EntitySkeletalKnight",14
"Project: Vibrant Journeys","pvj:pvj_small_spider","vibrantjourneys.entities.passive.EntitySmallSpider",4
"Project: Vibrant Journeys","pvj:pvj_snail","vibrantjourneys.entities.passive.EntitySnail",1
"Project: Vibrant Journeys","pvj:pvj_starfish","vibrantjourneys.entities.passive.EntityStarfish",5
"Project: Vibrant Journeys","pvj:pvj_watcher","vibrantjourneys.entities.neutral.EntityWatcher",16
"Quark","quark:arrow_torch","vazkii.quark.misc.entity.EntityArrowTorch",7
"Quark","quark:ashen","vazkii.quark.world.entity.EntityAshen",1
"Quark","quark:chest_passenger","vazkii.quark.management.entity.EntityChestPassenger",13
"Quark","quark:colored_item_frame","vazkii.quark.decoration.entity.EntityColoredItemFrame",0
"Quark","quark:crab","vazkii.quark.world.entity.EntityCrab",22
"Quark","quark:dragon_breath_bottle","vazkii.quark.misc.entity.EntityDragonBreathBottle",11
"Quark","quark:dweller","vazkii.quark.world.entity.EntityDweller",2
"Quark","quark:flat_item_frame","vazkii.quark.decoration.entity.EntityFlatItemFrame",9
"Quark","quark:foxhound","vazkii.quark.world.entity.EntityFoxhound",21
"Quark","quark:frog","vazkii.quark.world.entity.EntityFrog",18
"Quark","quark:glass_item_frame","vazkii.quark.decoration.entity.EntityGlassItemFrame",10
"Quark","quark:gravisand","vazkii.quark.automation.entity.EntityGravisand",23
"Quark","quark:leash_knot","vazkii.quark.decoration.entity.EntityLeashKnot2TheKnotting",19
"Quark","quark:parrot_egg","vazkii.quark.misc.entity.EntityParrotEgg",14
"Quark","quark:pickarang","vazkii.quark.world.entity.EntityPickarang",20
"Quark","quark:pirate","vazkii.quark.world.entity.EntityPirate",3
"Quark","quark:seat","vazkii.quark.vanity.feature.SitInStairs$Seat",12
"Quark","quark:soul_powder","vazkii.quark.misc.entity.EntitySoulPowder",8
"Reliquary","xreliquary:blaze_shot","xreliquary.entities.shot.EntityBlazeShot",5
"Reliquary","xreliquary:buster_shot","xreliquary.entities.shot.EntityBusterShot",8
"Reliquary","xreliquary:concussive_shot","xreliquary.entities.shot.EntityConcussiveShot",7
"Reliquary","xreliquary:ender_shot","xreliquary.entities.shot.EntityEnderShot",6
"Reliquary","xreliquary:ender_staff_projectile","xreliquary.entities.EntityEnderStaffProjectile",23
"Reliquary","xreliquary:exorcism_shot","xreliquary.entities.shot.EntityExorcismShot",4
"Reliquary","xreliquary:hand_grenade","xreliquary.entities.EntityHolyHandGrenade",0
"Reliquary","xreliquary:holy_water","xreliquary.entities.EntityGlowingWater",1
"Reliquary","xreliquary:kraken_slime","xreliquary.entities.EntityKrakenSlime",22
"Reliquary","xreliquary:lyssa_hook","xreliquary.entities.EntityLyssaHook",14
"Reliquary","xreliquary:neutral_shot","xreliquary.entities.shot.EntityNeutralShot",3
"Reliquary","xreliquary:sand_shot","xreliquary.entities.shot.EntitySandShot",10
"Reliquary","xreliquary:seeker_shot","xreliquary.entities.shot.EntitySeekerShot",9
"Reliquary","xreliquary:special_snowball","xreliquary.entities.EntitySpecialSnowball",2
"Reliquary","xreliquary:storm_shot","xreliquary.entities.shot.EntityStormShot",11
"Reliquary","xreliquary:thrown_aphrodite","xreliquary.entities.potion.EntityAttractionPotion",12
"Reliquary","xreliquary:thrown_fertility","xreliquary.entities.potion.EntityFertilePotion",21
"Reliquary","xreliquary:thrown_potion","xreliquary.entities.potion.EntityThrownXRPotion",13
"Reliquary","xreliquary:tipped arrow","xreliquary.entities.EntityXRTippedArrow",24
"Smeltery IO","mctsmelteryio:textures/items/iceball.png","mctmods.smelteryio.entity.EntityIceball",0
"Tinkers' Arsenal","tconstruct:boomstick_shot","io.github.redstoneparadox.tinkersarsenal.entities.EntityBoomstickShot",2
"Tinkers' Construct","tconstruct:arrow","slimeknights.tconstruct.tools.common.entity.EntityArrow",10
"Tinkers' Construct","tconstruct:blueslime","slimeknights.tconstruct.world.entity.EntityBlueSlime",1
"Tinkers' Construct","tconstruct:bolt","slimeknights.tconstruct.tools.common.entity.EntityBolt",11
"Tinkers' Construct","tconstruct:fancy_frame","slimeknights.tconstruct.gadgets.entity.EntityFancyItemFrame",2
"Tinkers' Construct","tconstruct:indestructible","slimeknights.tconstruct.library.tinkering.IndestructibleEntityItem",0
"Tinkers' Construct","tconstruct:shuriken","slimeknights.tconstruct.tools.common.entity.EntityShuriken",12
"Tinkers' Construct","tconstruct:throwball","slimeknights.tconstruct.gadgets.entity.EntityThrowball",3
"Waddles","waddles:adelie_penguin","com.girafi.waddles.entity.EntityAdeliePenguin",1
