/name, localName, hexColor
tellurium, Tellurium, 52919e
iodine, Iodine, 5f3368
caesium, Caesium, a4a0ad
barium, Barium, a84d14
lanthanum, Lanthanum, 96a2ab
cerium, Cerium, 516675
praseodymium, Praseodymium, 163d59
neodymium, Neodymium, 727287
promethium, Promethium, ab7291
samarium, Samarium, 486959
europium, Europium, 9c7e75
gadolinium, Gadolinium, bab88c
terbium, Terbium, 788a5a
dysprosium, Dysprosium, 6e3054
holmium, Holmium, 877e6d
erbium, Erbium, 6d877f
thulium, Thulium, 072742
ytterbium, Ytterbium, 3f3f4a
lutetium, Lutetium, 7b989c
hafnium, Hafnium, afbbce
tantalum, Tantalum, bccccf
tungsten, Tungsten, 101024
rhenium, Rhenium, dfd2ef
osmium, Osmium, 0000ff
iridium, Iridium, edfffd
platinum, Platinum, ced7db
gold, Gold, ffd95c
mercury, Mercury, ff5c5c
thallium, Thallium, c6d7f2
lead, Lead, 9771ab
bismuth, Bismuth, 54946e
polonium, Polonium, 66421f
astatine, Astatine, 2a2b30
francium, Francium, 434a46
radium, Radium, c7c6b5
actinium, Actinium, 415fc1
thorium, Thorium, 2a1c36
protactinium, Protactinium, dadff2
uranium, Uranium, 00ff4c
neptunium, Neptunium, 4b4de3
plutonium, Plutonium, abacd4
americium, Americium, ffa382
curium, Curium, 3b4066
berkelium, Berkelium, 825f19
californium, Californium, c44310
einsteinium, Einsteinium, 0e2784
fermium, Fermium, abaf79
mendelevium, Mendelevium, 79afa9
nobelium, Nobelium, a679af
lawrencium, Lawrencium, c1b343
rutherfordium, Rutherfordium, d4bfa7
dubnium, Dubnium, b5c9c7
seaborgium, Seaborgium, 9dc3c7
bohrium, Bohrium, 5c3f3f
hassium, Hassium, 8f7951
meitnerium, Meitnerium, b097ab
darmstadtium, Darmstadtium, cee6b1
roentgenium, Roentgenium, 5f6b63
copernicium, Copernicium, 7c8c8f
nihonium, Nihonium, a8bab2
flerovium, Flerovium, bac3cc
moscovium, Moscovium, c28274
livermorium, Livermorium, ada87b
tennessine, Tennessine, a27ee0
oganesson, Oganesson, 949494
/alloys:
kanthal, Kanthal, abad4b
nichrome, Nichrome, be7dff
tinalloy, Tin-Alloy, aacccc
magnalium, Magnalium, 496281
rosegold, Rose-Gold, ee6846
sterlingsilver, Sterling-Silver, cee3e2
niobiumtitanium, Niobium-Titanium, d37272
bluesteel, Blue-Steel, 0362af
redsteel, Red-Steel, b51717
stainlesssteel, Stainless-Steel, 9b99b5
cobaltbrass, Cobalt-Brass, 244d8f
bismuthbronze, Bismuth-Bronze, 366035
blackbronze, Black-Bronze, 6d5a1f
blacksteel, Black-Steel, 2f3948
pewter, Pewter, bbd1ab
galvanized_steel, Galvanized-Steel, 777f5e
tungstensteel, Tungstensteel, 1b2431
iridium_alloy, Iridium-Alloy, eaefee
advanced_alloy, Advanced-Alloy, e84629
bronze, Bronze, ff881a
electrum, Electrum, f9e600
constantan, Constantan, fd5c17
steel, Steel, 869a9b
brass, Brass, f2b600
invar, Invar, b0ae6a
hssg, HSS-G, 929434
hsse, HSS-E, 335c2a
hsss, HSS-S, 63283e
dilithium, Dilithium, e4e2ba
titanium_aluminide, Titanium-Aluminide, 033d47
titanium_iridium, Titanium-Iridium, e9b4b5
redstone_alloy, Redstone-Alloy, ea2a15
electrical_steel, Electrical-Steel, a9acb2
conductive_iron, Conductive-Iron, b79d9a
dark_steel, Dark-Steel, 2e332f
construction_alloy, Construction-Alloy, b5b18d
alumite, Alumite, ffc9f0
osmiridium, Osmiridium, 7999c8
redalloy, Red-Alloy, ff0000
electrum_flux, Gelid-Enderium, f4b024
signalum, Signalum, fe3a01
lumium, Lumium, ffffb6
enderium, Enderium, 008839
aluminum_brass, Aluminum-Brass, f2d048
knightslime, Knightslime, c741d8
pig_iron, Pig-Iron, e2a69e
cupronickel, Cupronickel, d89115
aluminum_bronze, Aluminum-Bronze, f2a348
nickel_aluminum_bronze, NickelAluminum-Bronze, ead48c
yttrium_barium_cuprate, Yttrium-Barium-Cuprate, 3b0c08
purple_steel, Purple-Steel, 71006d
voidensteel, Voidensteel, 531135
white_gold, White-Gold, fffcc4
nichromium, Nichromium, 945252
chromodium, Chromodium, 7b0425
fluxalitium, Fluxalitium, ffe097
spectraclium, Spectraclium, e8fffe
/natural other:
obsidian, Obsidian, 420042
/gems:
/vinteum,
nether_star, Nether-Star, fafeff
green_sapphire, Green-Sapphire, 47b560
diamond, Diamond, c9ffff
emerald, Emerald, 5ebf3b
cinnabar, Cinnabar, 751d23
coal, Coal, 26241f
lignite, Lignite, 66583e
apatite, Apatite, 4887b8
monazite, Monazite, 557864
nether_quartz, Nether-Quartz, fffcfa
sunny_quartz, Sunny-Quartz, fffce8
rose_quartz, Rose-Quartz, ffe8e8
elven_quartz, Elven-Quartz, e3ffe7
mana_quartz, Mana-Quartz, e3f4ff
lavender_quartz, Lavender-Quartz, e5dff0
blaze_quartz, Blaze-Quartz, fff1de
certus_quartz, Certus-Quartz, f0f3ff
black_quartz, Black-Quartz, 242435
lava_crystal, Lava-Crystal, c6751c
electrical, Electrical, aab5b4
adamantine, Adamantine, 5e3c30
cold_iron, Cold-Iron, b6d7ef
star_steel, Star-Steel, 070519
aquarium, Aquarium, 244775
ruby, Ruby, b00000
amber, Amber, feac63
topaz, Topaz, ea7500
peridot, Peridot, 71e100
malachite, Malachite, 00f0a8
sapphire, Sapphire, 4500d5
amethyst, Amethyst, da82ff
tanzanite, Tanzanite, 490f79
moonstone, Moonstone, 424566
red_garnet, Red-Garnet, db3c3c
yellow_garnet, Yellow-Garnet, d6de36
aquamarine, Aquamarine, 229ce2
