/"OreDict Key","ItemStacks"
"blockAlumite","[materialis:alumite_block@0 - 'Alumite Block' - <no NBT>]"
"blockAmber","[biomesoplenty:gem_block@7 - 'Block of Amber' - <no NBT>]"
"blockAmethyst","[biomesoplenty:gem_block@0 - 'Block of Amethyst' - <no NBT>]"
"blockArdite","[tconstruct:metal@1 - 'Block of Ardite' - <no NBT>]"
"blockBone","[minecraft:bone_block@0 - 'Bone Block' - <no NBT>]"
"blockBrass",""
"blockBronze",""
"blockCactus","[minecraft:cactus@0 - 'Cactus' - <no NBT>]; [minecraft:cactus@32767 - '(WILDCARD)' - <no NBT>]"
"blockCandle","[quark:candle@32767 - '(WILDCARD)' - <no NBT>]"
"blockCharcoal","[tcomplement:storage@0 - 'Block of Charcoal' - <no NBT>]"
"blockCincinnasite","[betternether:cincinnasite_forged@0 - 'Forged Cincinnasite Block' - <no NBT>]; [betternether:cincinnasite_pillar@0 - 'Cincinnasite Pillar' - <no NBT>]; [betternether:cincinnasite_tile_large@0 - 'Large Cincinnasite Tile' - <no NBT>]; [betternether:cincinnasite_tile_small@0 - 'Small Cincinnasite Tile' - <no NBT>]"
"blockClay","[minecraft:clay@32767 - '(WILDCARD)' - <no NBT>]; [undergroundbiomes:igneous_clay@0 - 'Granite Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@0 - 'Gneiss Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@0 - 'Limestone Clay' - <no NBT>]; [undergroundbiomes:igneous_clay@1 - 'Diabase Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@1 - 'Eclogite Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@1 - 'Chalk Clay' - <no NBT>]; [undergroundbiomes:igneous_clay@2 - 'Rhyolite Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@2 - 'Marble Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@2 - 'Shale Clay' - <no NBT>]; [undergroundbiomes:igneous_clay@3 - 'Andesite Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@3 - 'Quartzite Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@3 - 'Siltstone Clay' - <no NBT>]; [undergroundbiomes:igneous_clay@4 - 'Gabbro Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@4 - 'Hornfels Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@4 - 'Conglomerate Clay' - <no NBT>]; [undergroundbiomes:igneous_clay@5 - 'Kimberlite Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@5 - 'Schist Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@5 - 'Dolomite Clay' - <no NBT>]; [undergroundbiomes:igneous_clay@6 - 'Komatiite Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@6 - 'Soapstone Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@6 - 'Greywacke Clay' - <no NBT>]; [undergroundbiomes:igneous_clay@7 - 'Dacite Clay' - <no NBT>]; [undergroundbiomes:metamorphic_clay@7 - 'Migmatite Clay' - <no NBT>]; [undergroundbiomes:sedimentary_clay@7 - 'Chert Clay' - <no NBT>]"
"blockCoal","[minecraft:coal_block@0 - 'Block of Coal' - <no NBT>]"
"blockCobalt","[tconstruct:metal@0 - 'Block of Cobalt' - <no NBT>]"
"blockCoil","[libvulpes:coil0@2 - 'Gold Coil' - <no NBT>]; [libvulpes:coil0@4 - 'Copper Coil' - <no NBT>]; [libvulpes:coil0@7 - 'Titanium Coil' - <no NBT>]; [libvulpes:coil0@9 - 'Aluminum Coil' - <no NBT>]; [libvulpes:coil0@10 - 'Iridium Coil' - <no NBT>]"
"blockCopper","[libvulpes:metal0@4 - 'Copper Block' - <no NBT>]"
"blockCosmicNeutronium","[avaritia:block_resource@0 - 'Neutronium Block' - <no NBT>]"
"blockCrystalMatrix","[avaritia:block_resource@2 - 'Crystal Matrix' - <no NBT>]"
"blockDemonicMetal",""
"blockDiamond","[minecraft:diamond_block@0 - 'Block of Diamond' - <no NBT>]"
"blockDuck","[duckcraft:rawduckblock@0 - 'Block Of Raw Duck' - <no NBT>]; [duckcraft:cookedduckblock@0 - 'Block Of Cooked Duck' - <no NBT>]"
"blockElectrum",""
"blockElectrumFlux",""
"blockEmerald","[minecraft:emerald_block@0 - 'Block of Emerald' - <no NBT>]"
"blockEnchantedMetal",""
"blockEvilMetal",""
"blockFuelCoke",""
"blockGlass","[minecraft:glass@0 - 'Glass' - <no NBT>]; [minecraft:stained_glass@32767 - '(WILDCARD)' - <no NBT>]; [tconstruct:clear_glass@32767 - '(WILDCARD)' - <no NBT>]; [tconstruct:clear_stained_glass@32767 - '(WILDCARD)' - <no NBT>]; [tinkers_reforged:kovar_glass@0 - 'Kovar Glass' - <no NBT>]"
"blockGlassBlack","[minecraft:stained_glass@15 - 'Black Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@15 - 'Clear Black Stained Glass' - <no NBT>]"
"blockGlassBlue","[minecraft:stained_glass@11 - 'Blue Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@11 - 'Clear Blue Stained Glass' - <no NBT>]"
"blockGlassBrown","[minecraft:stained_glass@12 - 'Brown Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@12 - 'Clear Brown Stained Glass' - <no NBT>]"
"blockGlassColorless","[minecraft:glass@0 - 'Glass' - <no NBT>]"
"blockGlassCyan","[minecraft:stained_glass@9 - 'Cyan Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@9 - 'Clear Cyan Stained Glass' - <no NBT>]"
"blockGlassGray","[minecraft:stained_glass@7 - 'Gray Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@7 - 'Clear Gray Stained Glass' - <no NBT>]"
"blockGlassGreen","[minecraft:stained_glass@13 - 'Green Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@13 - 'Clear Green Stained Glass' - <no NBT>]"
"blockGlassLightBlue","[minecraft:stained_glass@3 - 'Light Blue Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@3 - 'Clear Light Blue Stained Glass' - <no NBT>]"
"blockGlassLightGray","[minecraft:stained_glass@8 - 'Light Gray Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@8 - 'Clear Light Gray Stained Glass' - <no NBT>]"
"blockGlassLime","[minecraft:stained_glass@5 - 'Lime Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@5 - 'Clear Light Green Stained Glass' - <no NBT>]"
"blockGlassMagenta","[minecraft:stained_glass@2 - 'Magenta Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@2 - 'Clear Magenta Stained Glass' - <no NBT>]"
"blockGlassOrange","[minecraft:stained_glass@1 - 'Orange Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@1 - 'Clear Orange Stained Glass' - <no NBT>]"
"blockGlassPink","[minecraft:stained_glass@6 - 'Pink Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@6 - 'Clear Pink Stained Glass' - <no NBT>]"
"blockGlassPurple","[minecraft:stained_glass@10 - 'Purple Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@10 - 'Clear Purple Stained Glass' - <no NBT>]"
"blockGlassRed","[minecraft:stained_glass@14 - 'Red Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@14 - 'Clear Red Stained Glass' - <no NBT>]"
"blockGlassWhite","[minecraft:stained_glass@0 - 'White Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@0 - 'Clear White Stained Glass' - <no NBT>]"
"blockGlassYellow","[minecraft:stained_glass@4 - 'Yellow Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@4 - 'Clear Yellow Stained Glass' - <no NBT>]"
"blockGlowstone","[minecraft:glowstone@0 - 'Glowstone' - <no NBT>]"
"blockGold","[minecraft:gold_block@0 - 'Block of Gold' - <no NBT>]"
"blockInfinity","[avaritia:block_resource@1 - 'Infinity Block' - <no NBT>]"
"blockIridium","[libvulpes:metal0@10 - 'Iridium Block' - <no NBT>]"
"blockIron","[minecraft:iron_block@0 - 'Block of Iron' - <no NBT>]"
"blockKnightslime","[tconstruct:metal@3 - 'Block of Knightslime' - <no NBT>]"
"blockKovar","[tinkers_reforged:kovar_block@0 - 'tile.tinkers_reforged.kovar_block.name' - <no NBT>]"
"blockLapis","[minecraft:lapis_block@0 - 'Lapis Lazuli Block' - <no NBT>]"
"blockLavium","[tinkers_reforged:lavium_block@0 - 'tile.tinkers_reforged.lavium_block.name' - <no NBT>]"
"blockLead",""
"blockMagicalWood",""
"blockMagma","[minecraft:magma@0 - 'Magma Block' - <no NBT>]"
"blockMalachite","[biomesoplenty:gem_block@5 - 'Block of Malachite' - <no NBT>]"
"blockManyullyn","[tconstruct:metal@2 - 'Block of Manyullyn' - <no NBT>]"
"blockMeatRaw","[biomesoplenty:flesh@0 - 'Flesh' - <no NBT>]"
"blockMetal","[minecraft:iron_block@0 - 'Block of Iron' - <no NBT>]; [minecraft:gold_block@0 - 'Block of Gold' - <no NBT>]"
"blockMossy","[minecraft:mossy_cobblestone@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:stonebrick@1 - 'Mossy Stone Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@0 - 'Mossy Gneiss Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@0 - 'Mossy Limestone' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@0 - 'Mossy Granite Cobblestone' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@1 - 'Mossy Eclogite Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@1 - 'Mossy Chalk' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@1 - 'Mossy Diabase Cobblestone' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@2 - 'Mossy Marble Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@2 - 'Mossy Shale' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@2 - 'Mossy Rhyolite Cobblestone' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@3 - 'Mossy Quartzite Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@3 - 'Mossy Siltstone' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@3 - 'Mossy Andesite Cobblestone' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@4 - 'Mossy Hornfels Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@4 - 'Mossy Conglomerate' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@4 - 'Mossy Gabbro Cobblestone' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@5 - 'Mossy Schist Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@5 - 'Mossy Dolomite' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@5 - 'Mossy Kimberlite Cobblestone' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@6 - 'Mossy Soapstone Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@6 - 'Mossy Greywacke' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@6 - 'Mossy Komatiite Cobblestone' - <no NBT>]; [undergroundbiomes:metamorphic_cobble_mossy@7 - 'Mossy Migmatite Cobblestone' - <no NBT>]; [undergroundbiomes:sedimentary_stone_mossy@7 - 'Mossy Chert' - <no NBT>]; [undergroundbiomes:igneous_cobble_mossy@7 - 'Mossy Dacite Cobblestone' - <no NBT>]"
"blockMotor","[libvulpes:motor@0 - 'Motor' - <no NBT>]; [libvulpes:advancedmotor@0 - 'Advanced Motor' - <no NBT>]; [libvulpes:enhancedmotor@0 - 'Enhanced Motor' - <no NBT>]; [libvulpes:elitemotor@0 - 'Elite Motor' - <no NBT>]"
"blockMud","[biomesoplenty:mud@0 - 'Mud' - <no NBT>]"
"blockNetherWart","[minecraft:nether_wart_block@0 - 'Nether Wart Block' - <no NBT>]"
"blockNickel",""
"blockPeridot","[biomesoplenty:gem_block@2 - 'Block of Peridot' - <no NBT>]"
"blockPigiron","[tconstruct:metal@4 - 'Block of Pigiron' - <no NBT>]"
"blockPrismarine","[minecraft:prismarine@0 - 'Prismarine' - <no NBT>]; [quark:elder_prismarine@0 - 'Elder Prismarine' - <no NBT>]"
"blockPrismarineBrick","[minecraft:prismarine@1 - 'Prismarine Bricks' - <no NBT>]; [quark:elder_prismarine@1 - 'Elder Prismarine Bricks' - <no NBT>]"
"blockPrismarineDark","[minecraft:prismarine@2 - 'Dark Prismarine' - <no NBT>]; [quark:elder_prismarine@2 - 'Dark Elder Prismarine' - <no NBT>]"
"blockPrismarineElder","[quark:elder_prismarine@0 - 'Elder Prismarine' - <no NBT>]"
"blockPrismarineElderBrick","[quark:elder_prismarine@1 - 'Elder Prismarine Bricks' - <no NBT>]"
"blockPrismarineElderDark","[quark:elder_prismarine@2 - 'Dark Elder Prismarine' - <no NBT>]"
"blockQivium","[tinkers_reforged:qivium_block@0 - 'tile.tinkers_reforged.qivium_block.name' - <no NBT>]"
"blockQuartz","[minecraft:quartz_block@0 - 'Block of Quartz' - <no NBT>]"
"blockQuartzGlass","[betternether:quartz_glass@0 - 'Quartz Glass' - <no NBT>]"
"blockRedstone","[minecraft:redstone_block@0 - 'Block of Redstone' - <no NBT>]"
"blockRuby","[biomesoplenty:gem_block@1 - 'Block of Ruby' - <no NBT>]"
"blockSapphire","[biomesoplenty:gem_block@6 - 'Block of Sapphire' - <no NBT>]"
"blockSeared","[tconstruct:seared@32767 - '(WILDCARD)' - <no NBT>]"
"blockSilver",""
"blockSlime","[minecraft:slime@0 - 'Green Slime Block' - <no NBT>]; [minecraft:slime@32767 - '(WILDCARD)' - <no NBT>]; [tconstruct:slime@32767 - '(WILDCARD)' - <no NBT>]; [quark:color_slime@32767 - '(WILDCARD)' - <no NBT>]"
"blockSlimeBlue","[tconstruct:slime@1 - 'Slime Block' - <no NBT>]; [quark:color_slime@1 - 'Blue Slime Block' - <no NBT>]"
"blockSlimeCongealed","[tconstruct:slime_congealed@32767 - '(WILDCARD)' - <no NBT>]"
"blockSlimeCyan","[quark:color_slime@2 - 'Cyan Slime Block' - <no NBT>]"
"blockSlimeDirt","[tconstruct:slime_dirt@32767 - '(WILDCARD)' - <no NBT>]"
"blockSlimeGrass","[tconstruct:slime_grass@32767 - '(WILDCARD)' - <no NBT>]"
"blockSlimeGreen","[tconstruct:slime@0 - 'Slime Block' - <no NBT>]; [minecraft:slime@0 - 'Green Slime Block' - <no NBT>]"
"blockSlimeMagenta","[quark:color_slime@3 - 'Magenta Slime Block' - <no NBT>]"
"blockSlimeRed","[tconstruct:slime@3 - 'Blood Slime Block' - <no NBT>]; [quark:color_slime@0 - 'Red Slime Block' - <no NBT>]"
"blockSlimeYellow","[quark:color_slime@4 - 'Yellow Slime Block' - <no NBT>]"
"blockSteel","[libvulpes:metal0@6 - 'Steel Block' - <no NBT>]; [tcomplement:storage@1 - 'Block of Steel' - <no NBT>]"
"blockTanzanite","[biomesoplenty:gem_block@4 - 'Block of Tanzanite' - <no NBT>]"
"blockTin","[libvulpes:metal0@5 - 'Tin Block' - <no NBT>]"
"blockTitanium","[libvulpes:metal0@7 - 'Titanium Block' - <no NBT>]"
"blockTitaniumAluminide","[advancedrocketry:metal0@0 - 'Titanium Aluminide Block' - <no NBT>]"
"blockTitaniumIridium","[advancedrocketry:metal0@1 - 'Titanium Iridium Alloy Block' - <no NBT>]"
"blockTopaz","[biomesoplenty:gem_block@3 - 'Block of Topaz' - <no NBT>]"
"blockTorch","[minecraft:torch@0 - 'Torch' - <no NBT>]"
"blockWarpCoreCore","[minecraft:gold_block@0 - 'Block of Gold' - <no NBT>]"
"blockWarpCoreRim","[libvulpes:metal0@7 - 'Titanium Block' - <no NBT>]"
"blockWool","[minecraft:wool@32767 - '(WILDCARD)' - <no NBT>]"
"blockWoolBlack","[minecraft:wool@15 - 'Black Wool' - <no NBT>]"
"blockWoolBlue","[minecraft:wool@11 - 'Blue Wool' - <no NBT>]"
"blockWoolBrown","[minecraft:wool@12 - 'Brown Wool' - <no NBT>]"
"blockWoolCyan","[minecraft:wool@9 - 'Cyan Wool' - <no NBT>]"
"blockWoolGray","[minecraft:wool@7 - 'Gray Wool' - <no NBT>]"
"blockWoolGreen","[minecraft:wool@13 - 'Green Wool' - <no NBT>]"
"blockWoolLightBlue","[minecraft:wool@3 - 'Light Blue Wool' - <no NBT>]"
"blockWoolLightGray","[minecraft:wool@8 - 'Light Gray Wool' - <no NBT>]"
"blockWoolLime","[minecraft:wool@5 - 'Lime Wool' - <no NBT>]"
"blockWoolMagenta","[minecraft:wool@2 - 'Magenta Wool' - <no NBT>]"
"blockWoolOrange","[minecraft:wool@1 - 'Orange Wool' - <no NBT>]"
"blockWoolPink","[minecraft:wool@6 - 'Pink Wool' - <no NBT>]"
"blockWoolPurple","[minecraft:wool@10 - 'Purple Wool' - <no NBT>]"
"blockWoolRed","[minecraft:wool@14 - 'Red Wool' - <no NBT>]"
"blockWoolWhite","[minecraft:wool@0 - 'White Wool' - <no NBT>]"
"blockWoolYellow","[minecraft:wool@4 - 'Yellow Wool' - <no NBT>]"
"blockZinc",""
"boltIron","[contenttweaker:material_part@15 - 'Iron Bolt' - <no NBT>]"
"boltLumium","[contenttweaker:material_part@747 - 'Lumium Bolt' - <no NBT>]"
"boltPolyethylene","[contenttweaker:material_part@784 - 'Polyethylene Bolt' - <no NBT>]"
"bone","[minecraft:bone@0 - 'Bone' - <no NBT>]"
"boneWithered","[tconstruct:materials@17 - 'Necrotic Bone' - <no NBT>]"
"bookshelf","[minecraft:bookshelf@0 - 'Oak Bookshelf' - <no NBT>]; [quark:custom_bookshelf@32767 - '(WILDCARD)' - <no NBT>]"
"bookshelfAcacia","[quark:custom_bookshelf@3 - 'Acacia Bookshelf' - <no NBT>]"
"bookshelfBirch","[quark:custom_bookshelf@1 - 'Birch Bookshelf' - <no NBT>]"
"bookshelfDarkOak","[quark:custom_bookshelf@4 - 'Dark Oak Bookshelf' - <no NBT>]"
"bookshelfJungle","[quark:custom_bookshelf@2 - 'Jungle Bookshelf' - <no NBT>]"
"bookshelfOak","[minecraft:bookshelf@0 - 'Oak Bookshelf' - <no NBT>]"
"bookshelfSpruce","[quark:custom_bookshelf@0 - 'Spruce Bookshelf' - <no NBT>]"
"bouleSilicon","[libvulpes:productboule@3 - 'Silicon Boule' - <no NBT>]"
"bread","[minecraft:bread@0 - 'Bread' - <no NBT>]"
"bricksStone","[minecraft:stonebrick@0 - 'Stone Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@0 - 'Granite Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@0 - 'Gneiss Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@1 - 'Diabase Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@1 - 'Eclogite Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@2 - 'Rhyolite Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@2 - 'Marble Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@3 - 'Andesite Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@3 - 'Quartzite Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@4 - 'Gabbro Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@4 - 'Hornfels Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@5 - 'Kimberlite Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@5 - 'Schist Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@6 - 'Komatiite Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@6 - 'Soapstone Bricks' - <no NBT>]; [undergroundbiomes:igneous_brick@7 - 'Dacite Bricks' - <no NBT>]; [undergroundbiomes:metamorphic_brick@7 - 'Migmatite Bricks' - <no NBT>]"
"bucketFish","[jaff:fish_bucket_cod@0 - 'Bucket with Cod' - <no NBT>]; [jaff:fish_bucket_salmon@0 - 'Bucket with Salmon' - <no NBT>]; [jaff:fish_bucket_clownfish@0 - 'Bucket with Clownfish' - <no NBT>]; [jaff:fish_bucket_pufferfish@0 - 'Bucket with Pufferfish' - <no NBT>]"
"buttonWood","[minecraft:wooden_button@0 - 'Oak Button' - <no NBT>]; [quark:spruce_button@0 - 'Spruce Button' - <no NBT>]; [quark:birch_button@0 - 'Birch Button' - <no NBT>]; [quark:jungle_button@0 - 'Jungle Button' - <no NBT>]; [quark:acacia_button@0 - 'Acacia Button' - <no NBT>]; [quark:dark_oak_button@0 - 'Dark Oak Button' - <no NBT>]"
"cactus","[pvj:small_cactus@0 - 'Small Cactus' - <no NBT>]; [minecraft:cactus@0 - 'Cactus' - <no NBT>]"
"casingCentrifuge","[libvulpes:advstructuremachine@0 - 'Advanced Machine Structure' - <no NBT>]"
"casingIron","[contenttweaker:material_part@4 - 'Iron Casing' - <no NBT>]"
"casingLumium","[contenttweaker:material_part@736 - 'Lumium Casing' - <no NBT>]"
"casingPolyethylene","[contenttweaker:material_part@775 - 'Polyethylene Casing' - <no NBT>]"
"casingRubber","[contenttweaker:material_part@798 - 'Rubber Casing' - <no NBT>]"
"cast","[tconstruct:cast@32767 - '(WILDCARD)' - <no NBT>]; [tconstruct:cast_custom@32767 - '(WILDCARD)' - <no NBT>]"
"chainIron","[contenttweaker:material_part@24 - 'Iron Chain' - <no NBT>]"
"chainLumium","[contenttweaker:material_part@756 - 'Lumium Chain' - <no NBT>]"
"chainPolyethylene","[contenttweaker:material_part@791 - 'Polyethylene Chain' - <no NBT>]"
"charcoal","[minecraft:coal@1 - 'Charcoal' - <no NBT>]"
